,num_tokens,num_chars,longest_message_toks,shortest_message_toks,longest_message_chars,shortest_message_chars
127128115,50537,222812,70,1,296,0
127132318,755,3111,35,1,152,0
1271425643,670,5227,20,1,166,0
1271758111,1893,14571,33,1,195,0
1271898645,41154,175437,71,1,274,0
1271945410,92216,402140,56,1,375,0
127217289,65086,288082,51,1,221,0
1272179056,1474,11386,26,1,272,0
1272179169,268817,1167261,91,1,266,0
1272600383,556,4235,14,1,165,0
1272854311,2212,17316,45,1,150,0
1273088929,61249,267131,76,1,445,0
1273137060,102877,472039,50,1,429,0
1273633966,886,6743,26,1,143,0
1274247198,54799,246474,73,1,300,0
127429050,48778,224549,57,1,207,0
127431142,10634,44316,49,1,210,0
127470334,234445,1075603,115,1,175,0
1275297703,39038,168611,77,1,280,0
127554213,1121,4374,55,1,205,0
127563135,3635,15330,65,1,243,0
127589086,961,3966,19,1,76,0
1276376059,61611,282830,39,1,312,0
1276392863,70933,291963,92,1,315,0
127645329,44755,194654,102,1,234,0
127687665,164389,749302,57,1,285,0
1277473363,178283,797198,55,1,390,0
1277478757,45789,201756,85,1,391,0
127848379,35960,149101,114,1,300,0
1278570227,64297,291045,52,1,360,0
127879519,68602,323204,44,1,210,0
1278812503,2004,15979,37,1,300,0
1278812675,269277,1309528,58,1,242,0
127924608,110657,506036,73,1,172,0
1279259646,553,4043,20,1,202,0
1279544894,3555,26653,41,1,228,0
1279775534,110832,481852,36,1,258,0
1280007957,1254,9919,30,1,285,0
1280008061,277026,1313681,61,1,383,0
1280453964,402,3226,16,1,110,0
1280637856,1824,13206,45,1,168,0
1281004596,201200,905725,68,1,352,0
128124628,18117,76853,56,1,225,0
128135967,41063,178457,90,1,188,0
1281509734,577,4440,18,1,111,0
128182591,1,0,1,1,0,0
128182731,69179,314822,47,1,154,0
128500528,42765,190579,66,1,276,0
128524587,5901,25294,45,1,234,0
128586543,76167,362368,54,1,204,0
12865081,1,0,1,1,0,0
1286676314,952,7569,19,1,170,0
1286676364,323304,1498969,72,1,255,0
128722536,20765,89714,90,1,279,0
1287325263,2056,14235,28,1,134,0
1287881533,1128,9113,32,1,255,0
1287881683,251066,1157459,64,1,228,0
128807452,72932,333357,55,1,264,0
1288319667,997,7439,38,1,247,0
1288701692,2418,17126,41,1,210,0
128937362,1,0,1,1,0,0
128937503,30781,133892,64,1,237,0
1289387010,931,7183,40,1,300,0
129021195,71671,319549,61,1,247,0
129023556,6867,28151,52,1,225,0
129062049,121483,555499,47,1,176,0
1292187049,186080,808546,86,1,460,0
129231236,40513,172801,74,1,312,0
129271762,111766,511583,41,1,165,0
1293275694,85190,377716,43,1,259,0
1293286499,9109,38503,45,1,170,0
